hostname;INTERFACE;LINK_STATUS;ADMIN_STATE;DESCRIPTION;IP_ADDRESS;
DC2CFDZEUSA3-02;Vlan3016;up;up, autostate enabled;OUTSOURCING_PROVIDER16_DC2  Internet Address is 173.1.31.252/23;;
DC2CFDZEUSA3-02;Vlan3017;up;up, autostate enabled;OUTSOURCING_PROVIDER17_DC2  Internet Address is 173.1.33.252/23;;
DC2CFDZEUSA3-02;Vlan3018;up;up, autostate enabled;OUTSOURCING_SIOP-OUTSOURCER1_DC2  Internet Address is 173.1.35.252/23;;
DC2CFDZEUSA3-02;Vlan3019;up;up, autostate enabled;OUTSOURCING_SIOP-OUTSOURCER2_DC2  Internet Address is 173.1.37.252/23;;
DC2CFDZEUSA3-02;Vlan3020;up;up, autostate enabled;OUTSOURCING_SIOP-OUTSOURCER3_DC2  Internet Address is 173.1.39.252/23;;
DC2CFDZEUSA3-02;Vlan3021;up;up, autostate enabled;OUTSOURCING_PROVIDER21_DC2  Internet Address is 173.1.41.252/23;;
DC2CFDZEUSA3-02;Vlan3022;up;up, autostate enabled;OUTSOURCING_PROVIDER22_DC2  Internet Address is 173.1.43.252/23;;
DC2CFDZEUSA3-02;Vlan3023;up;up, autostate enabled;OUTSOURCING_PROVIDER23_DC2  Internet Address is 173.1.45.252/23;;
DC2CFDZEUSA3-02;Vlan3024;up;up, autostate enabled;OUTSOURCING_PROVIDER24_DC2  Internet Address is 173.1.47.252/23;;
DC2CFDZEUSA3-02;Vlan3025;up;up, autostate enabled;OUTSOURCING_PROVIDER25_DC2  Internet Address is 173.1.49.252/23;;
DC2CFDZEUSA3-02;Vlan3026;up;up, autostate enabled;OUTSOURCING_PROVIDER26_DC2  Internet Address is 173.1.51.252/23;;
DC2CFDZEUSA3-02;Vlan3027;up;up, autostate enabled;OUTSOURCING_PROVIDER27_DC2  Internet Address is 173.1.53.252/23;;
DC2CFDZEUSA3-02;Vlan3028;up;up, autostate enabled;OUTSOURCING_PROVIDER28_DC2  Internet Address is 173.1.55.252/23;;
DC2CFDZEUSA3-02;Vlan3029;up;up, autostate enabled;OUTSOURCING_PROVIDER29_DC2  Internet Address is 173.1.57.252/23;;
DC2CFDZEUSA3-02;Vlan3030;up;up, autostate enabled;OUTSOURCING_PROVIDER30_DC2  Internet Address is 173.1.59.252/23;;
DC2CFDZEUSA3-02;Vlan3031;up;up, autostate enabled;OUTSOURCING_PROVIDER31_DC2  Internet Address is 173.1.61.252/23;;
DC2CFDZEUSA3-02;Vlan3032;up;up, autostate enabled;OUTSOURCING_PROVIDER32_DC2  Internet Address is 173.1.63.252/23;;
DC2CFDZEUSA3-02;Vlan3033;up;up, autostate enabled;OUTSOURCING_PROVIDER33_MARCOUSSIS  Internet Address is 173.3.7.252/21;;
